time,open,high,low,close
1679678340,264.96,264.96,264.71,264.71
1679678400,264.96,265.12,264.79,265.12
1679678460,265.17,265.29,265.14,265.14
1679678520,265.12,265.42,265.1,265.39
1679678580,265.29,265.29,264.95,264.95
1679678640,264.75,265.04,264.75,265.01
1679678700,265.06,265.25,265.06,265.25
1679678760,265.42,265.79,265.42,265.57
1679678820,265.5,265.54,265.39,265.45
1679678880,265.57,265.57,265.25,265.39
1679678940,265.49,265.58,265.43,265.43
1679679000,265.59,265.68,265.53,265.59
1679679060,265.63,265.63,265.34,265.34
1679679120,265.4,265.69,265.33,265.69
1679679180,265.76,265.81,265.59,265.59
1679679240,265.53,265.53,265.23,265.23
1679679300,265.47,265.47,265.41,265.41
1679679360,265.47,265.66,265.47,265.58
1679679420,265.78,265.78,265.61,265.61
1679679480,265.63,265.81,265.55,265.61
1679679540,265.6,265.74,265.6,265.63
1679679600,265.6,265.81,265.55,265.74
1679679660,265.65,265.65,265.26,265.28
1679679720,265.23,265.44,265.15,265.44
1679679780,265.42,265.57,265.4,265.45
1679679840,265.4,265.47,265.375,265.375
1679679900,265.42,265.42,265.27,265.27
1679679960,265.38,265.58,265.38,265.58
1679680020,265.59,265.59,265.23,265.23
1679680080,265.18,265.18,265.02,265.11
1679680140,265.22,265.22,265.01,265.02
1679680200,265.06,265.11,265.06,265.09
1679680260,265.0,265.0,264.83,264.83
1679680320,264.93,264.93,264.8,264.82
1679680380,264.81,264.81,264.69,264.69
1679680440,264.76,264.88,264.76,264.88
1679680500,264.91,264.97,264.74,264.74
1679680560,264.71,264.71,264.54,264.58
1679680620,264.66,264.83,264.66,264.77
1679680680,264.66,264.84,264.66,264.8
1679680740,264.76,265.01,264.76,264.99
1679680800,265.07,265.22,264.97,265.18
1679680860,265.17,265.17,265.0,265.0
1679680920,265.02,265.3,265.02,265.23
1679680980,265.22,265.38,265.22,265.25
1679681040,265.25,265.28,265.12,265.2
1679681100,265.01,265.1,264.91,264.93
1679681160,264.96,264.98,264.64,264.65
1679681220,264.71,264.95,264.69,264.95
1679681280,265.05,265.27,265.05,265.19
1679681340,265.2,265.2,265.04,265.06
1679681400,264.85,265.15,264.85,265.14
1679681460,265.12,265.17,265.08,265.15
